egid;eingang_koordinaten
449741;47.54652138490751, 7.560677942536244
449742;47.54646590022711, 7.560688615420212
449745;47.546260246772306, 7.559211044598925
449749;47.54614891329065, 7.558047196229135
449751;47.546095842135955, 7.557384968418091
449754;47.54609196793461, 7.55701097996498
449755;47.546094841174465, 7.556891449313906
449757;47.545677108846704, 7.556801687769457
449761;47.54738714100597, 7.5634343570858125
449766;47.54718982880371, 7.5618499288073195
449774;47.547088524420836, 7.561105321521192
449777;47.5470651236212, 7.560932873268341
449781;47.54701725931641, 7.5606488535248095
449785;47.5469356363381, 7.560023648516111
449787;47.54692159692773, 7.5593387023468575
449793;47.54755809101572, 7.562483587492607
449794;47.54754408674595, 7.562382784696529
449795;47.54742079267101, 7.562075792159183
449796;47.54731959824531, 7.5615101523802135
449797;47.5473091549897, 7.561434677144388
449798;47.547299115648684, 7.5613599201830315
449803;47.54724820884198, 7.560985058202039
449806;47.5472073229917, 7.560753417481993
449810;47.547100068240105, 7.559113190481117
449812;47.549398292905714, 7.564777060115548
449815;47.5488646156644, 7.563595592368586
449817;47.54878938657286, 7.56225797932354
449821;47.548648862621015, 7.561308631900148
449826;47.548530982156684, 7.560698959174785
449828;47.54847851076239, 7.560545821484261
449829;47.548439866337, 7.559419573006418
449838;47.54896217322848, 7.562174316950346
449840;47.5489435647984, 7.562047145331277
449846;47.54865676215035, 7.55996353796702
449849;47.54866933909902, 7.5595700143912685
449851;47.54833665781302, 7.565104170421883
449855;47.547863711453445, 7.561287995038391
449864;47.54773970035284, 7.560477240842516
449865;47.548530787203084, 7.56412197382035
449866;47.548520437585694, 7.564069743519294
449867;47.54849571496814, 7.563943049472152
449870;47.54819422595405, 7.562452036539293
449875;47.54800999228361, 7.56105064256178
449876;47.54799858892178, 7.560972759864182
449881;47.547919758977514, 7.560594336015604
449888;47.55035203509735, 7.564602360909959
449892;47.5499127845476, 7.562396235067765
449894;47.5499275791551, 7.5599031201593965
449896;47.55050566220173, 7.564564516601745
449897;47.55002485391344, 7.5619475895887485
449901;47.549985358909375, 7.560865050637115
449903;47.550639623592836, 7.564848004529613
449904;47.55068730344262, 7.564836001569599
449905;47.55072835309018, 7.564825670079389
449906;47.55077762525649, 7.5648132722997445
449907;47.550816596790014, 7.564803453969423
449910;47.55095383374961, 7.564768918973234
449914;47.55113080686781, 7.564724394454799
449918;47.55063187542707, 7.565068203453278
449923;47.550861953445335, 7.565010135887718
449925;47.55095049404115, 7.564987854306966
449927;47.55103774821096, 7.5649658618744935
449928;47.551080858003075, 7.564955003897803
449931;47.551212760278915, 7.564921784989594
449932;47.55125525831852, 7.564911084912813
449934;47.551474280415995, 7.56493842388775
449936;47.55136115310848, 7.564175336793293
449939;47.5511381382218, 7.563753796842507
449941;47.551452634919826, 7.562993371911453
449943;47.55139838530656, 7.562646222994388
449944;47.5511138858146, 7.5623923452002915
449947;47.55107617165874, 7.562140833345667
